Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,35216,-,-,-,28.65,77.65,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Pressure,Temperature,Wind Speed,GHI,Wind Direction
2002,1,1,0,30,0,0,-7,9940,10,0.2,0,29.8
2002,1,1,1,30,0,0,-7,9930,10,0.2,0,30
2002,1,1,2,30,0,0,-7,9930,9,0.2,0,30.1
2002,1,1,3,30,0,0,-7,9930,9,0.1,0,30.5
2002,1,1,4,30,0,0,-8,9940,8,0.1,0,31.1
2002,1,1,5,30,0,0,-8,9940,8,0.1,0,31.900000000000002
2002,1,1,6,30,0,0,-8,9950,7,0.1,0,32.6
2002,1,1,7,30,11,0,-8,9960,10,0,11,33
2002,1,1,8,30,99,20,-8,9960,14,0,104,34
2002,1,1,9,30,184,52,-8,9970,18,0,205,14.600000000000001
2002,1,1,10,30,182,4,-7,9960,23,0,185,2.8000000000000003
2002,1,1,11,30,199,3,-8,9960,25,0,201,34.7
2002,1,1,12,30,253,18,-9,9950,26,0,265,31.400000000000002
2002,1,1,13,30,300,193,-9,9940,26,0,414,30.200000000000003
2002,1,1,14,30,265,174,-10,9940,26,0,352,31.3
2002,1,1,15,30,181,350,-10,9940,23,0,310,32.4
2002,1,1,16,30,96,139,-9,9940,19,0.1,124,33.300000000000004
2002,1,1,17,30,0,0,-10,9940,17,0.1,0,33.9
2002,1,1,18,30,0,0,-10,9950,16,0.1,0,34
2002,1,1,19,30,0,0,-10,9950,15,0.1,0,33.7
2002,1,1,20,30,0,0,-10,9940,14,0.1,0,32.2
2002,1,1,21,30,0,0,-10,9950,13,0.1,0,30.3
2002,1,1,22,30,0,0,-10,9950,13,0.1,0,29.6
2002,1,1,23,30,0,0,-9,9950,12,0.2,0,29.900000000000002
2002,1,2,0,30,0,0,-9,9950,11,0.2,0,30.5
2002,1,2,1,30,0,0,-9,9950,11,0.2,0,31.3
2002,1,2,2,30,0,0,-9,9950,10,0.2,0,32.1
2002,1,2,3,30,0,0,-9,9950,9,0.2,0,33
2002,1,2,4,30,0,0,-9,9950,9,0.1,0,33.6
2002,1,2,5,30,0,0,-9,9950,8,0.1,0,34
